question_id,question_text,question_type,legal_topic,split,answerability,initial_gold_corpus_ids,validated_gold_corpus_ids,validation_decision,issue_type,support_type,recommended_action,validation_notes,validator_role,legal_expert_validated
Q020,Mehnat shartnomasi qachondan kuchga kiradi va ishning boshlanish sanasi qanday belgilanadi?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A108-U01,UZLLC-LC-A108-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasining kuchga kirishi va ishning boshlanish sanasi.,model_assisted_internal_consistency_review,no
Q021,Mehnat shartnomasi qanday muddatlarga tuzilishi mumkin?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A110-U01,UZLLC-LC-A110-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasining muddati.,model_assisted_internal_consistency_review,no
Q022,Qaysi hollarda xodim bilan muddatli mehnat shartnomasi tuziladi?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A112-U01,UZLLC-LC-A112-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodim bilan muddatli mehnat shartnomasi tuziladigan hollar.,model_assisted_internal_consistency_review,no
Q023,Xodim va ish beruvchi kelishuviga koʻra muddatli mehnat shartnomasi qaysi hollarda tuzilishi mumkin?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A113-U01,UZLLC-LC-A113-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodim bilan muddatli mehnat shartnomasi tuzilishi mumkin boʻlgan hollar.,model_assisted_internal_consistency_review,no
Q024,Ishga qabul qilish chogʻida ishga kirayotgan shaxsdan qanday hujjatlar talab qilinadi?,terminology,hiring_procedure,test,answerable,UZLLC-LC-A124-U01,UZLLC-LC-A124-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ishga qabul qilish chogʻida talab etiladigan hujjatlar.,model_assisted_internal_consistency_review,no
Q025,Ishga qabul qilish ish beruvchining qaysi hujjati bilan rasmiylashtiriladi?,terminology,hiring_procedure,test,answerable,UZLLC-LC-A127-U01,UZLLC-LC-A127-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ish beruvchi tomonidan xodimni ishga qabul qilish toʻgʻrisida buyruq chiqarishi hamda ishga qabul qilish haqidagi maʼlumotlarni xodimning mehnat daftarchasiga va “Yagona milliy mehnat tizimi” idoralararo dasturiy-apparat kompleksiga kiritish.,model_assisted_internal_consistency_review,no
Q026,Xodim haqiqatda ishga qoʻyilganda ish beruvchining majburiyati qanday belgilanadi?,terminology,hiring_procedure,test,answerable,UZLLC-LC-A128-U01,UZLLC-LC-A128-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimni haqiqatda ishga qoʻyish.,model_assisted_internal_consistency_review,no
Q027,Dastlabki sinov mehnat shartnomasida qanday maqsadlarda belgilanadi?,terminology,probation_period,test,answerable,UZLLC-LC-A129-U01,UZLLC-LC-A129-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ishga qabul qilish chogʻidagi dastlabki sinov.,model_assisted_internal_consistency_review,no
Q028,Dastlabki sinov sharti mehnat shartnomasida koʻrsatilmagan boʻlsa nima boʻladi?,terminology,probation_period,test,answerable,UZLLC-LC-A129-U02,UZLLC-LC-A129-U02,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ishga qabul qilish chogʻidagi dastlabki sinov.,model_assisted_internal_consistency_review,no
Q029,Qaysi shaxslar ishga qabul qilinganda dastlabki sinov belgilanmaydi?,terminology,probation_period,test,answerable,UZLLC-LC-A129-U03,UZLLC-LC-A129-U03,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ishga qabul qilish chogʻidagi dastlabki sinov.,model_assisted_internal_consistency_review,no
Q030,Dastlabki sinov muddati umumiy holatda qancha davom etishi mumkin?,terminology,probation_period,test,answerable,UZLLC-LC-A130-U01,UZLLC-LC-A130-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Dastlabki sinov muddati.,model_assisted_internal_consistency_review,no
Q031,Dastlabki sinov natijasi boʻyicha mehnat shartnomasi qanday tartibda bekor qilinishi mumkin?,terminology,probation_period,test,answerable,UZLLC-LC-A132-U01,UZLLC-LC-A132-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Dastlabki sinov natijasi.,model_assisted_internal_consistency_review,no
Q032,Mehnat shartnomasini oʻzgartirish asoslari qaysilar?,terminology,contract_modification_transfer,test,answerable,UZLLC-LC-A133-U01,UZLLC-LC-A133-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini oʻzgartirish asoslari.,model_assisted_internal_consistency_review,no
Q033,Mehnat shartlari tushunchasi nimani anglatadi?,terminology,contract_modification_transfer,test,answerable,UZLLC-LC-A134-U01,UZLLC-LC-A134-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartlari tushunchasi.,model_assisted_internal_consistency_review,no
Q034,Xodimni boshqa ishga doimiy oʻtkazish uchun uning roziligi talab qilinadimi?,terminology,contract_modification_transfer,test,answerable,UZLLC-LC-A140-U01,UZLLC-LC-A140-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimning boshqa ishga oʻtkazish uchun roziligi.,model_assisted_internal_consistency_review,no
Q035,Xodimni ishdan chetlashtirish hollari qaysilar?,terminology,suspension_from_work,test,answerable,UZLLC-LC-A151-U01,UZLLC-LC-A151-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimni ishdan chetlashtirish hollari.,model_assisted_internal_consistency_review,no
Q036,Mehnat shartnomasini bekor qilish tushunchasi va asoslari qanday belgilanadi?,terminology,termination,test,answerable,UZLLC-LC-A155-U01,UZLLC-LC-A155-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini bekor qilish tushunchasi va asoslari.,model_assisted_internal_consistency_review,no
Q037,Mehnat shartnomasini taraflarning kelishuviga koʻra bekor qilish tartibi qanday?,terminology,termination,test,answerable,UZLLC-LC-A157-U01,UZLLC-LC-A157-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini taraflarning kelishuviga koʻra bekor qilish.,model_assisted_internal_consistency_review,no
Q038,Muddatli mehnat shartnomasi muddati tugashi munosabati bilan qanday bekor qilinadi?,terminology,termination,test,answerable,UZLLC-LC-A158-U01,UZLLC-LC-A158-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Muddatli mehnat shartnomasini uning muddati tugashi munosabati bilan bekor qilish.,model_assisted_internal_consistency_review,no
Q039,Xodim oʻz tashabbusi bilan mehnat shartnomasini bekor qilishda qancha oldin ogohlantirishi kerak?,terminology,termination,test,answerable,UZLLC-LC-A160-U01,UZLLC-LC-A160-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini xodimning tashabbusiga koʻra bekor qilish.,model_assisted_internal_consistency_review,no
Q040,Ish beruvchining tashabbusiga koʻra mehnat shartnomasini bekor qilish qanday asoslangan boʻlishi kerak?,terminology,termination,test,answerable,UZLLC-LC-A161-U01,UZLLC-LC-A161-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini ish beruvchining tashabbusiga koʻra bekor qilish.,model_assisted_internal_consistency_review,no
Q041,Ish beruvchi mehnat shartnomasini bekor qilish niyati haqida xodimni qanday ogohlantirishi kerak?,terminology,termination,test,answerable,UZLLC-LC-A165-U01,UZLLC-LC-A165-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini ish beruvchining tashabbusiga koʻra bekor qilish toʻgʻrisida ogohlantirish.,model_assisted_internal_consistency_review,no
Q042,Mehnat shartnomasi bekor qilinganda xodimga tegishli summalar qachon toʻlanadi?,terminology,termination,test,answerable,UZLLC-LC-A172-U03,UZLLC-LC-A172-U03,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasi bekor qilinganda xodim bilan hisob-kitob qilish.,model_assisted_internal_consistency_review,no
Q043,Ishdan boʻshatish nafaqasi qanday maqsadda toʻlanadi?,terminology,termination,test,answerable,UZLLC-LC-A173-U01,UZLLC-LC-A173-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ishdan boʻshatish nafaqasi.,model_assisted_internal_consistency_review,no
Q044,Ish vaqti tushunchasi va turlari qanday belgilanadi?,terminology,working_time,test,answerable,UZLLC-LC-A181-U01,UZLLC-LC-A181-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtining tushunchasi va turlari.,model_assisted_internal_consistency_review,no
Q045,Ish vaqtining normal davomiyligi qanday belgilanadi?,terminology,working_time,test,answerable,UZLLC-LC-A182-U01,UZLLC-LC-A182-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtining normal davomiyligi.,model_assisted_internal_consistency_review,no
Q046,Ish kunim odatdagidan juda uzun boʻlib ketmasligi uchun qonunda umumiy chegara bormi?,paraphrase,working_time,dev,answerable,UZLLC-LC-A182-U01,UZLLC-LC-A182-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtining normal davomiyligi.,model_assisted_internal_consistency_review,no
Q047,Ayrim xodimlar boshqalarga qaraganda kamroq soat ishlashi mumkinmi?,paraphrase,working_time,dev,answerable,UZLLC-LC-A183-U01,UZLLC-LC-A183-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtining qisqartirilgan davomiyligi.,model_assisted_internal_consistency_review,no
Q048,"Ish beruvchi meni ish vaqtidan keyin qoʻshimcha ishlatmoqchi boʻlsa, bu qaysi qoida bilan tartibga solinadi?",paraphrase,working_time,dev,answerable,UZLLC-LC-A189-U01,UZLLC-LC-A189-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtidan tashqari ish.,model_assisted_internal_consistency_review,no
Q049,Qoʻshimcha ishlarning eng koʻp davomiyligi boʻyicha qonunda cheklov bormi?,paraphrase,working_time,dev,answerable,UZLLC-LC-A190-U01,UZLLC-LC-A190-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish vaqtidan tashqari ishlarning eng koʻp davomiyligi.,model_assisted_internal_consistency_review,no
Q050,Tushlik va dam olish uchun tanaffus berilishi shartmi?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A204-U01,UZLLC-LC-A204-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Dam olish va ovqatlanish uchun tanaffuslar.,model_assisted_internal_consistency_review,no
Q051,Har kuni ish tugaganidan keyin keyingi smenagacha qancha dam olishim kerakligi qayerda belgilanadi?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A206-U01,UZLLC-LC-A206-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har kungi (smenalar oraligʻidagi) dam olishning davomiyligi.,model_assisted_internal_consistency_review,no
Q052,Har haftalik dam olish kunlari berilishi qonunda qanday kafolatlangan?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A207-U01,UZLLC-LC-A207-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Dam olish kunlari (har haftalik uzluksiz dam olish).,model_assisted_internal_consistency_review,no
Q053,Bayram yoki dam olish kunida ishlash odatda taqiqlanadimi?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A209-U01,UZLLC-LC-A209-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Dam olish kunlarida va ishlanmaydigan bayram kunlarida ishlashni taqiqlash.,model_assisted_internal_consistency_review,no
Q054,Ish beruvchi meni roziligimsiz dam olish kuni ishga chaqirishi mumkin boʻlgan alohida holatlar bormi?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A210-U01,UZLLC-LC-A210-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Xodimlarni dam olish kunlari va ishlanmaydigan bayram kunlari ularning roziligisiz ishga jalb etishning alohida hollari.,model_assisted_internal_consistency_review,no
Q055,Dam olish kuni ishga jalb qilish buyruq bilan rasmiylashtiriladimi?,paraphrase,rest_time_holidays,dev,answerable,UZLLC-LC-A212-U01,UZLLC-LC-A212-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Xodimni dam olish kuni yoki ishlanmaydigan bayram kuni ishga jalb etishni rasmiylashtirish.,model_assisted_internal_consistency_review,no
Q056,Xodimlarga qanday turdagi taʼtillar beriladi?,paraphrase,leave_entitlement,dev,answerable,UZLLC-LC-A213-U01,UZLLC-LC-A213-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Taʼtillarning turlari.,model_assisted_internal_consistency_review,no
Q057,Yillik asosiy mehnat taʼtilining eng kam davomiyligi qancha?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A217-U01,UZLLC-LC-A217-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi asosiy eng kam mehnat taʼtilining davomiyligi.,model_assisted_internal_consistency_review,no
Q058,Kimlarga yillik asosiy uzaytirilgan taʼtil berilishi mumkin?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A218-U01,UZLLC-LC-A218-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi asosiy uzaytirilgan taʼtil.,model_assisted_internal_consistency_review,no
Q059,Qoʻshimcha mehnat taʼtillari qaysi hollarda beriladi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A219-U01,UZLLC-LC-A219-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi qoʻshimcha taʼtillar.,model_assisted_internal_consistency_review,no
Q060,Koʻp yillik ish staji uchun qoʻshimcha taʼtil olish mumkinmi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A220-U01,UZLLC-LC-A220-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Bitta tashkilotda yoki tarmoqda koʻp yillik ish staji uchun beriladigan har yilgi qoʻshimcha mehnat taʼtili.,model_assisted_internal_consistency_review,no
Q061,Taʼtil kunlari qanday hisoblab chiqariladi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A221-U01,UZLLC-LC-A221-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi mehnat taʼtillarining davomiyligini hisoblab chiqarish.,model_assisted_internal_consistency_review,no
Q062,Yillik taʼtilni qismlarga boʻlib olish mumkinmi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A231-U01,UZLLC-LC-A231-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi mehnat taʼtilini qismlarga boʻlish.,model_assisted_internal_consistency_review,no
Q063,Ish beruvchi xodimni yillik taʼtildan chaqirib olishi mumkinmi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A232-U01,UZLLC-LC-A232-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Xodimni har yilgi mehnat taʼtilidan chaqirib olish.,model_assisted_internal_consistency_review,no
Q064,Taʼtilni pul kompensatsiyasi bilan almashtirishga ruxsat beriladimi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A234-U01,UZLLC-LC-A234-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Har yilgi mehnat taʼtilini pulli kompensatsiya bilan almashtirish.,model_assisted_internal_consistency_review,no
Q065,Ishdan ketayotganda foydalanilmagan taʼtilim qanday hisobga olinadi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A235-U01,UZLLC-LC-A235-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasini bekor qilish chogʻida xodimga har yilgi mehnat taʼtilini berish.,model_assisted_internal_consistency_review,no
Q066,Xodimning talabiga koʻra ish haqi saqlanmagan taʼtil majburiy beriladigan holatlar bormi?,paraphrase,leave_entitlement,test,answerable,UZLLC-LC-A242-U01,UZLLC-LC-A242-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Xodimning talabiga koʻra majburiy tartibda ish haqi saqlanmagan holda taʼtil berish.,model_assisted_internal_consistency_review,no
Q067,Mehnatga haq toʻlash va ish haqi bir xil tushunchami yoki alohida tariflanadimi?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A243-U01,UZLLC-LC-A243-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Mehnatga haq toʻlash va ish haqi tushunchalari.,model_assisted_internal_consistency_review,no
Q068,Xodimlar mehnatiga haq toʻlashda asosiy kafolatlar nimalardan iborat?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A244-U01,UZLLC-LC-A244-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Xodimlarning mehnatiga haq toʻlash sohasidagi asosiy kafolatlar.,model_assisted_internal_consistency_review,no
Q069,Eng kam ish haqi qonunda qanday belgilanadi?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A245-U01,UZLLC-LC-A245-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Mehnatga haq toʻlashning eng kam miqdorini belgilash.,model_assisted_internal_consistency_review,no
Q070,Ish haqi kamida har yarim oyda bir marta toʻlanishi kerakmi?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A253-U01,UZLLC-LC-A253-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish haqini toʻlash muddatlari.,model_assisted_internal_consistency_review,no
Q071,"Oylik beriladigan kun bayram yoki dam olish kuniga toʻgʻri kelsa, qachon toʻlanadi?",paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A253-U03,UZLLC-LC-A253-U03,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish haqini toʻlash muddatlari.,model_assisted_internal_consistency_review,no
Q072,"Ish beruvchi ish haqini kechiktirsa, xodim oldida javobgar boʻladimi?",paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A253-U06,UZLLC-LC-A253-U06,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish haqini toʻlash muddatlari.,model_assisted_internal_consistency_review,no
Q073,Ishdan boʻshaganda barcha toʻlovlar qaysi kuni berilishi kerak?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A254-U01,UZLLC-LC-A254-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasi bekor qilinganda hisob-kitob qilish muddatlari.,model_assisted_internal_consistency_review,no
Q074,Ish haqidan ushlab qolish har doim ham mumkinmi?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A269-U01,UZLLC-LC-A269-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish haqidan ushlab qolishni cheklash.,model_assisted_internal_consistency_review,no
Q075,Ish haqidan ushlab qolish miqdori boʻyicha cheklovlar bormi?,paraphrase,wages_and_payments,test,answerable,UZLLC-LC-A270-U01,UZLLC-LC-A270-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Ish haqidan ushlab qolish miqdorlarini cheklash.,model_assisted_internal_consistency_review,no
Q076,Mehnat intizomini buzgan xodimga qanday intizomiy jazolar qoʻllanadi?,paraphrase,disciplinary_liability,test,answerable,UZLLC-LC-A312-U01,UZLLC-LC-A312-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Intizomiy jazo choralari.,model_assisted_internal_consistency_review,no
Q077,Intizomiy jazo qanday tartibda qoʻllanadi?,paraphrase,disciplinary_liability,test,answerable,UZLLC-LC-A313-U01,UZLLC-LC-A313-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Intizomiy jazo choralarini qoʻllash tartibi.,model_assisted_internal_consistency_review,no
Q078,Intizomiy jazoni qoʻllash muddati qancha?,paraphrase,disciplinary_liability,test,answerable,UZLLC-LC-A314-U01,UZLLC-LC-A314-U01,validated_consistent,none,paraphrased_textual_support,keep,Gold unit article title directly matches the question topic: Intizomiy jazoni qoʻllash muddatlari.,model_assisted_internal_consistency_review,no
