question_id,corpus_id,relevance_label,gold_order,document_code,article_number,unit_number,answer_source,validation_decision,support_type
Q024,UZLLC-LC-A124-U01,primary,1,LC,124,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 124-modda, U01",validated_consistent,direct_textual_support
Q025,UZLLC-LC-A127-U01,primary,1,LC,127,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 127-modda, U01",validated_consistent,direct_textual_support
Q026,UZLLC-LC-A128-U01,primary,1,LC,128,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 128-modda, U01",validated_consistent,direct_textual_support
Q027,UZLLC-LC-A129-U01,primary,1,LC,129,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U01",validated_consistent,direct_textual_support
Q028,UZLLC-LC-A129-U02,primary,1,LC,129,2,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U02",validated_consistent,direct_textual_support
Q029,UZLLC-LC-A129-U03,primary,1,LC,129,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U03",validated_consistent,direct_textual_support
Q030,UZLLC-LC-A130-U01,primary,1,LC,130,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 130-modda, U01",validated_consistent,direct_textual_support
Q031,UZLLC-LC-A132-U01,primary,1,LC,132,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 132-modda, U01",validated_consistent,direct_textual_support
Q032,UZLLC-LC-A133-U01,primary,1,LC,133,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 133-modda, U01",validated_consistent,direct_textual_support
Q033,UZLLC-LC-A134-U01,primary,1,LC,134,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 134-modda, U01",validated_consistent,direct_textual_support
Q034,UZLLC-LC-A140-U01,primary,1,LC,140,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 140-modda, U01",validated_consistent,direct_textual_support
Q035,UZLLC-LC-A151-U01,primary,1,LC,151,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 151-modda, U01",validated_consistent,direct_textual_support
Q036,UZLLC-LC-A155-U01,primary,1,LC,155,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 155-modda, U01",validated_consistent,direct_textual_support
Q037,UZLLC-LC-A157-U01,primary,1,LC,157,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 157-modda, U01",validated_consistent,direct_textual_support
Q038,UZLLC-LC-A158-U01,primary,1,LC,158,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 158-modda, U01",validated_consistent,direct_textual_support
Q039,UZLLC-LC-A160-U01,primary,1,LC,160,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 160-modda, U01",validated_consistent,direct_textual_support
Q040,UZLLC-LC-A161-U01,primary,1,LC,161,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 161-modda, U01",validated_consistent,direct_textual_support
Q041,UZLLC-LC-A165-U01,primary,1,LC,165,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 165-modda, U01",validated_consistent,direct_textual_support
Q042,UZLLC-LC-A172-U03,primary,1,LC,172,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 172-modda, U03",validated_consistent,direct_textual_support
Q043,UZLLC-LC-A173-U01,primary,1,LC,173,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 173-modda, U01",validated_consistent,direct_textual_support
Q044,UZLLC-LC-A181-U01,primary,1,LC,181,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 181-modda, U01",validated_consistent,direct_textual_support
Q045,UZLLC-LC-A182-U01,primary,1,LC,182,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 182-modda, U01",validated_consistent,direct_textual_support
Q046,UZLLC-LC-A182-U01,primary,1,LC,182,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 182-modda, U01",validated_consistent,paraphrased_textual_support
Q047,UZLLC-LC-A183-U01,primary,1,LC,183,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 183-modda, U01",validated_consistent,paraphrased_textual_support
Q048,UZLLC-LC-A189-U01,primary,1,LC,189,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 189-modda, U01",validated_consistent,paraphrased_textual_support
Q049,UZLLC-LC-A190-U01,primary,1,LC,190,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 190-modda, U01",validated_consistent,paraphrased_textual_support
Q050,UZLLC-LC-A204-U01,primary,1,LC,204,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 204-modda, U01",validated_consistent,paraphrased_textual_support
Q051,UZLLC-LC-A206-U01,primary,1,LC,206,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 206-modda, U01",validated_consistent,paraphrased_textual_support
Q052,UZLLC-LC-A207-U01,primary,1,LC,207,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 207-modda, U01",validated_consistent,paraphrased_textual_support
Q053,UZLLC-LC-A209-U01,primary,1,LC,209,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 209-modda, U01",validated_consistent,paraphrased_textual_support
Q054,UZLLC-LC-A210-U01,primary,1,LC,210,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 210-modda, U01",validated_consistent,paraphrased_textual_support
Q055,UZLLC-LC-A212-U01,primary,1,LC,212,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 212-modda, U01",validated_consistent,paraphrased_textual_support
Q056,UZLLC-LC-A213-U01,primary,1,LC,213,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 213-modda, U01",validated_consistent,paraphrased_textual_support
Q057,UZLLC-LC-A217-U01,primary,1,LC,217,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 217-modda, U01",validated_consistent,paraphrased_textual_support
Q058,UZLLC-LC-A218-U01,primary,1,LC,218,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 218-modda, U01",validated_consistent,paraphrased_textual_support
Q059,UZLLC-LC-A219-U01,primary,1,LC,219,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 219-modda, U01",validated_consistent,paraphrased_textual_support
Q060,UZLLC-LC-A220-U01,primary,1,LC,220,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 220-modda, U01",validated_consistent,paraphrased_textual_support
Q061,UZLLC-LC-A221-U01,primary,1,LC,221,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 221-modda, U01",validated_consistent,paraphrased_textual_support
Q062,UZLLC-LC-A231-U01,primary,1,LC,231,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 231-modda, U01",validated_consistent,paraphrased_textual_support
Q063,UZLLC-LC-A232-U01,primary,1,LC,232,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 232-modda, U01",validated_consistent,paraphrased_textual_support
Q064,UZLLC-LC-A234-U01,primary,1,LC,234,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 234-modda, U01",validated_consistent,paraphrased_textual_support
Q065,UZLLC-LC-A235-U01,primary,1,LC,235,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 235-modda, U01",validated_consistent,paraphrased_textual_support
Q066,UZLLC-LC-A242-U01,primary,1,LC,242,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 242-modda, U01",validated_consistent,paraphrased_textual_support
Q067,UZLLC-LC-A243-U01,primary,1,LC,243,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 243-modda, U01",validated_consistent,paraphrased_textual_support
Q068,UZLLC-LC-A244-U01,primary,1,LC,244,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 244-modda, U01",validated_consistent,paraphrased_textual_support
Q069,UZLLC-LC-A245-U01,primary,1,LC,245,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 245-modda, U01",validated_consistent,paraphrased_textual_support
Q070,UZLLC-LC-A253-U01,primary,1,LC,253,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 253-modda, U01",validated_consistent,paraphrased_textual_support
Q071,UZLLC-LC-A253-U03,primary,1,LC,253,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 253-modda, U03",validated_consistent,paraphrased_textual_support
Q072,UZLLC-LC-A253-U06,primary,1,LC,253,6,"Oʻzbekiston Respublikasining Mehnat kodeksi, 253-modda, U06",validated_consistent,paraphrased_textual_support
Q073,UZLLC-LC-A254-U01,primary,1,LC,254,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 254-modda, U01",validated_consistent,paraphrased_textual_support
Q074,UZLLC-LC-A269-U01,primary,1,LC,269,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 269-modda, U01",validated_consistent,paraphrased_textual_support
Q075,UZLLC-LC-A270-U01,primary,1,LC,270,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 270-modda, U01",validated_consistent,paraphrased_textual_support
Q076,UZLLC-LC-A312-U01,primary,1,LC,312,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 312-modda, U01",validated_consistent,paraphrased_textual_support
Q077,UZLLC-LC-A313-U01,primary,1,LC,313,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 313-modda, U01",validated_consistent,paraphrased_textual_support
Q078,UZLLC-LC-A314-U01,primary,1,LC,314,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 314-modda, U01",validated_consistent,paraphrased_textual_support
Q079,UZLLC-LC-A315-U01,primary,1,LC,315,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 315-modda, U01",validated_consistent,paraphrased_textual_support
Q080,UZLLC-LC-A351-U01,primary,1,LC,351,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 351-modda, U01",validated_consistent,paraphrased_textual_support
Q081,UZLLC-LC-A352-U01,primary,1,LC,352,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 352-modda, U01",validated_consistent,paraphrased_textual_support
Q082,UZLLC-LC-A358-U01,primary,1,LC,358,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 358-modda, U01",validated_consistent,paraphrased_textual_support
Q083,UZLLC-LC-A360-U01,primary,1,LC,360,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 360-modda, U01",validated_consistent,paraphrased_textual_support
Q084,UZLLC-LC-A362-U01,primary,1,LC,362,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 362-modda, U01",validated_consistent,paraphrased_textual_support
Q085,UZLLC-LC-A366-U01,primary,1,LC,366,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 366-modda, U01",validated_consistent,paraphrased_textual_support
Q086,UZLLC-LC-A392-U01,primary,1,LC,392,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 392-modda, U01",validated_consistent,paraphrased_textual_support
Q087,UZLLC-LC-A394-U01,primary,1,LC,394,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 394-modda, U01",validated_consistent,paraphrased_textual_support
Q088,UZLLC-LC-A395-U01,primary,1,LC,395,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 395-modda, U01",validated_consistent,paraphrased_textual_support
Q089,UZLLC-LC-A396-U01,primary,1,LC,396,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 396-modda, U01",validated_consistent,paraphrased_textual_support
Q090,UZLLC-LC-A404-U01,primary,1,LC,404,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 404-modda, U01",validated_consistent,paraphrased_textual_support
Q091,UZLLC-CON-A42-U01,primary,1,CON,42,1,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01",validated_consistent,multi_provision_support
Q091,UZLLC-LC-A2-U01,secondary,2,LC,2,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 2-modda, U01",validated_consistent,multi_provision_support
Q092,UZLLC-CON-A42-U03,primary,1,CON,42,3,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U03",validated_consistent,multi_provision_support
Q092,UZLLC-LC-A392-U01,secondary,2,LC,392,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 392-modda, U01",validated_consistent,multi_provision_support
Q093,UZLLC-CON-A42-U02,primary,1,CON,42,2,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U02",validated_consistent,multi_provision_support
Q093,UZLLC-LC-A245-U01,secondary,2,LC,245,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 245-modda, U01",validated_consistent,multi_provision_support
Q094,UZLLC-CON-A42-U01,primary,1,CON,42,1,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01",validated_consistent,multi_provision_support
Q094,UZLLC-LC-A352-U01,secondary,2,LC,352,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 352-modda, U01",validated_consistent,multi_provision_support
Q095,UZLLC-LC-A129-U03,primary,1,LC,129,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U03",validated_consistent,multi_provision_support
Q095,UZLLC-LC-A130-U01,secondary,2,LC,130,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 130-modda, U01",validated_consistent,multi_provision_support
Q096,UZLLC-LC-A160-U01,primary,1,LC,160,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 160-modda, U01",validated_consistent,multi_provision_support
Q096,UZLLC-LC-A172-U03,secondary,2,LC,172,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 172-modda, U03",validated_consistent,multi_provision_support
Q097,UZLLC-LC-A161-U01,primary,1,LC,161,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 161-modda, U01",validated_consistent,multi_provision_support
Q097,UZLLC-LC-A165-U01,secondary,2,LC,165,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 165-modda, U01",validated_consistent,multi_provision_support
Q098,UZLLC-LC-A172-U02,primary,1,LC,172,2,"Oʻzbekiston Respublikasining Mehnat kodeksi, 172-modda, U02",validated_consistent,multi_provision_support
Q098,UZLLC-LC-A172-U03,secondary,2,LC,172,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 172-modda, U03",validated_consistent,multi_provision_support
Q099,UZLLC-LC-A172-U03,primary,1,LC,172,3,"Oʻzbekiston Respublikasining Mehnat kodeksi, 172-modda, U03",validated_consistent,multi_provision_support
Q099,UZLLC-LC-A173-U01,secondary,2,LC,173,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 173-modda, U01",validated_consistent,multi_provision_support
Q100,UZLLC-LC-A209-U01,primary,1,LC,209,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 209-modda, U01",validated_consistent,multi_provision_support
Q100,UZLLC-LC-A209-U06,secondary,2,LC,209,6,"Oʻzbekiston Respublikasining Mehnat kodeksi, 209-modda, U06",validated_consistent,multi_provision_support
Q101,UZLLC-LC-A210-U01,primary,1,LC,210,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 210-modda, U01",validated_consistent,multi_provision_support
Q101,UZLLC-LC-A212-U01,secondary,2,LC,212,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 212-modda, U01",validated_consistent,multi_provision_support
Q102,UZLLC-LC-A216-U01,primary,1,LC,216,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 216-modda, U01",validated_consistent,multi_provision_support
Q102,UZLLC-LC-A233-U01,secondary,2,LC,233,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 233-modda, U01",validated_consistent,multi_provision_support
Q103,UZLLC-LC-A253-U01,primary,1,LC,253,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 253-modda, U01",validated_consistent,multi_provision_support
Q103,UZLLC-LC-A253-U06,secondary,2,LC,253,6,"Oʻzbekiston Respublikasining Mehnat kodeksi, 253-modda, U06",validated_consistent,multi_provision_support
Q104,UZLLC-LC-A119-U01,primary,1,LC,119,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 119-modda, U01",validated_consistent,multi_provision_support
Q104,UZLLC-LC-A120-U01,secondary,2,LC,120,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 120-modda, U01",validated_consistent,multi_provision_support
Q105,UZLLC-LC-A352-U01,primary,1,LC,352,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 352-modda, U01",validated_consistent,multi_provision_support
Q105,UZLLC-LC-A358-U01,secondary,2,LC,358,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 358-modda, U01",validated_consistent,multi_provision_support
